n;t
1000;0.00011000
2000;0.00032000
3000;0.00043000
4000;0.00044000
5000;0.00055000
6000;0.00046000
7000;0.00047000
8000;0.00058000
9000;0.00059000
10000;0.000510000
11000;0.000511000
12000;0.000412000
13000;0.000513000
14000;0.000414000
15000;0.000515000
16000;0.000516000
17000;0.000417000
18000;0.000618000
19000;0.000519000
20000;0.000520000
21000;0.000521000
22000;0.000622000
23000;0.000523000
24000;0.000524000
25000;0.000525000
26000;0.000526000
27000;0.000627000
28000;0.000528000
29000;0.000429000
30000;0.000630000
31000;0.000531000
32000;0.000732000
33000;0.000533000
34000;0.000534000
35000;0.000535000
36000;0.000636000
37000;0.000637000
38000;0.000538000
39000;0.000639000
40000;0.000540000
41000;0.000441000
42000;0.000742000
43000;0.000543000
44000;0.000644000
45000;0.000545000
46000;0.000646000
47000;0.000547000
48000;0.000448000
49000;0.000649000
50000;0.000450000
51000;0.000651000
52000;0.000552000
53000;0.000653000
54000;0.000654000
55000;0.000555000
56000;0.000656000
57000;0.000457000
58000;0.000558000
59000;0.000659000
60000;0.000760000
61000;0.000361000
62000;0.000562000
63000;0.000463000
64000;0.000664000
65000;0.000765000
66000;0.000666000
67000;0.000467000
68000;0.000468000
69000;0.000569000
70000;0.000670000
71000;0.000571000
72000;0.000672000
73000;0.000673000
74000;0.000574000
75000;0.000675000
76000;0.000676000
77000;0.000477000
78000;0.000678000
79000;0.000579000
80000;0.000580000
81000;0.000681000
82000;0.000682000
83000;0.000683000
84000;0.000584000
85000;0.000485000
86000;0.000786000
87000;0.000687000
88000;0.000588000
89000;0.000689000
90000;0.000790000
91000;0.000691000
92000;0.000592000
93000;0.000593000
94000;0.000594000
95000;0.000695000
96000;0.000696000
97000;0.000697000
98000;0.000698000
99000;0.000699000
100000;0.0006100000
