n;t
10;0.0003
20;0.0004
30;0.0005
40;0.0005
50;0.0005
60;0.0006
70;0.0003
80;0.0004
90;0.0005
100;0.0005
110;0.0005
120;0.0005
130;0.0006
140;0.0004
150;0.0005
160;0.0005
170;0.0004
180;0.0005
190;0.0006
200;0.0005
210;0.0005
220;0.0004
230;0.0005
240;0.0004
250;0.0005
260;0.0005
270;0.0006
280;0.0005
290;0.0006
300;0.0004
310;0.0006
320;0.0005
330;0.0006
340;0.0006
350;0.0006
360;0.0005
370;0.0005
380;0.0006
390;0.0005
400;0.0005
410;0.0005
420;0.0005
430;0.0005
440;0.0004
450;0.0004
460;0.0005
470;0.0004
480;0.0006
490;0.0005
500;0.0003
510;0.0004
520;0.0005
530;0.0005
540;0.0004
550;0.0005
560;0.0004
570;0.0005
580;0.0006
590;0.0005
600;0.0003
610;0.0006
620;0.0004
630;0.0005
640;0.0005
650;0.0005
660;0.0004
670;0.0005
680;0.0004
690;0.0004
700;0.0005
710;0.0004
720;0.0004
730;0.0006
740;0.0004
750;0.0005
760;0.0006
770;0.0005
780;0.0004
790;0.0004
800;0.0005
810;0.0005
820;0.0004
830;0.0006
840;0.0005
850;0.0005
860;0.0006
870;0.0007
880;0.0005
890;0.0005
900;0.0005
910;0.0005
920;0.0005
930;0.0007
940;0.0005
950;0.0005
960;0.0005
970;0.0005
980;0.0005
990;0.0005
1000;0.0006
1010;0.0005
