n;t
1000;0.0005
2000;0.0004
3000;0.0005
4000;0.0005
5000;0.0004
6000;0.0005
7000;0.0005
8000;0.0005
9000;0.0005
10000;0.0006
11000;0.0004
12000;0.0006
13000;0.0005
14000;0.0005
15000;0.0005
16000;0.0006
17000;0.0004
18000;0.0005
19000;0.0005
20000;0.0005
21000;0.0006
22000;0.0004
23000;0.0005
24000;0.0006
25000;0.0005
26000;0.0004
27000;0.0006
28000;0.0005
29000;0.0005
30000;0.0006
31000;0.0004
32000;0.0005
33000;0.0006
34000;0.0005
35000;0.0004
36000;0.0006
37000;0.0005
38000;0.0006
39000;0.0005
40000;0.0004
41000;0.0005
42000;0.0006
43000;0.0005
44000;0.0006
45000;0.0005
46000;0.0004
47000;0.0005
48000;0.0005
49000;0.0005
50000;0.0006
51000;0.0005
52000;0.0005
53000;0.0006
54000;0.0005
55000;0.0003
56000;0.0005
57000;0.0005
58000;0.0005
59000;0.0005
60000;0.0006
61000;0.0005
62000;0.0006
63000;0.0004
64000;0.0006
65000;0.0005
66000;0.0006
67000;0.0006
68000;0.0005
69000;0.0005
70000;0.0004
71000;0.0005
72000;0.0003
73000;0.0006
74000;0.0005
75000;0.0004
76000;0.0004
77000;0.0006
78000;0.0005
79000;0.0005
80000;0.0006
81000;0.0005
82000;0.0005
83000;0.0005
84000;0.0005
85000;0.0006
86000;0.0004
87000;0.0005
88000;0.0006
89000;0.0004
90000;0.0005
91000;0.0005
92000;0.0005
93000;0.0006
94000;0.0005
95000;0.0004
96000;0.0006
97000;0.0005
98000;0.0005
99000;0.0005
100000;0.0005
