n;t
1000;0.00081000
2000;0.00082000
3000;0.00083000
4000;0.00084000
5000;0.00095000
6000;0.00096000
7000;0.00087000
8000;0.00098000
9000;0.00119000
10000;0.000910000
11000;0.00111000
12000;0.001112000
13000;0.000913000
14000;0.00114000
15000;0.000915000
16000;0.000816000
17000;0.000917000
18000;0.000918000
19000;0.001119000
20000;0.00120000
21000;0.000821000
22000;0.001122000
23000;0.00123000
24000;0.00124000
25000;0.00125000
26000;0.00126000
27000;0.00127000
28000;0.000828000
29000;0.001129000
30000;0.000930000
31000;0.000931000
32000;0.00132000
33000;0.001133000
34000;0.00134000
35000;0.001135000
36000;0.001136000
37000;0.00137000
38000;0.000938000
39000;0.00139000
40000;0.001140000
41000;0.001241000
42000;0.000942000
43000;0.000943000
44000;0.001144000
45000;0.00145000
46000;0.001146000
47000;0.001247000
48000;0.001148000
49000;0.001149000
50000;0.00150000
51000;0.001151000
52000;0.001152000
53000;0.00153000
54000;0.001154000
55000;0.001155000
56000;0.00156000
57000;0.001157000
58000;0.00158000
59000;0.00159000
60000;0.00160000
61000;0.001161000
62000;0.000962000
63000;0.001163000
64000;0.00164000
65000;0.00165000
66000;0.001166000
67000;0.001367000
68000;0.00168000
69000;0.001269000
70000;0.001170000
71000;0.001271000
72000;0.001172000
73000;0.001173000
74000;0.001174000
75000;0.001275000
76000;0.001176000
77000;0.001277000
78000;0.001178000
79000;0.001179000
80000;0.001180000
81000;0.00181000
82000;0.001182000
83000;0.001283000
84000;0.001184000
85000;0.001185000
86000;0.001286000
87000;0.001287000
88000;0.001288000
89000;0.001289000
90000;0.00190000
91000;0.001291000
92000;0.001292000
93000;0.001193000
94000;0.001294000
95000;0.001295000
96000;0.001296000
97000;0.001297000
98000;0.00198000
99000;0.001299000
100000;0.0012100000
