n;t
1000;0.0006
2000;0.0006
3000;0.0009
4000;0.0008
5000;0.0009
6000;0.001
7000;0.0008
8000;0.0009
9000;0.001
10000;0.0009
11000;0.001
12000;0.001
13000;0.0009
14000;0.001
15000;0.0009
16000;0.0009
17000;0.001
18000;0.001
19000;0.001
20000;0.001
21000;0.0009
22000;0.0009
23000;0.0012
24000;0.0011
25000;0.001
26000;0.001
27000;0.001
28000;0.001
29000;0.001
30000;0.0011
31000;0.0008
32000;0.001
33000;0.0009
34000;0.0011
35000;0.0011
36000;0.0013
37000;0.0012
38000;0.0011
39000;0.0011
40000;0.001
41000;0.0011
42000;0.001
43000;0.0009
44000;0.0011
45000;0.0011
46000;0.0011
47000;0.0011
48000;0.0012
49000;0.0009
50000;0.0011
51000;0.0011
52000;0.0011
53000;0.0011
54000;0.001
55000;0.001
56000;0.0014
57000;0.0012
58000;0.0012
59000;0.0016
60000;0.0014
61000;0.0012
62000;0.0011
63000;0.0013
64000;0.0017
65000;0.0011
66000;0.0011
67000;0.0009
68000;0.0011
69000;0.0011
70000;0.0011
71000;0.0011
72000;0.0011
73000;0.0011
74000;0.001
75000;0.0011
76000;0.0011
77000;0.0011
78000;0.001
79000;0.0013
80000;0.0011
81000;0.0009
82000;0.0011
83000;0.0008
84000;0.001
85000;0.0011
86000;0.0011
87000;0.001
88000;0.001
89000;0.0011
90000;0.001
91000;0.0013
92000;0.0011
93000;0.001
94000;0.001
95000;0.0012
96000;0.0011
97000;0.0012
98000;0.0011
99000;0.0011
100000;0.0011
