n;t
1000;0.00041000
2000;0.00032000
3000;0.00033000
4000;0.00054000
5000;0.00055000
6000;0.00046000
7000;0.00057000
8000;0.00048000
9000;0.00079000
10000;0.000510000
11000;0.000411000
12000;0.000412000
13000;0.000513000
14000;0.000514000
15000;0.000515000
16000;0.000416000
17000;0.000517000
18000;0.000318000
19000;0.000519000
20000;0.000620000
21000;0.000521000
22000;0.000622000
23000;0.000423000
24000;0.000324000
25000;0.000525000
26000;0.000626000
27000;0.000427000
28000;0.000528000
29000;0.000529000
30000;0.000530000
31000;0.000631000
32000;0.000532000
33000;0.000633000
34000;0.000534000
35000;0.000435000
36000;0.000536000
37000;0.000637000
38000;0.000638000
39000;0.000539000
40000;0.000640000
41000;0.000441000
42000;0.000542000
43000;0.000543000
44000;0.000444000
45000;0.000545000
46000;0.000646000
47000;0.000647000
48000;0.000448000
49000;0.000649000
50000;0.000450000
51000;0.000551000
52000;0.000652000
53000;0.000553000
54000;0.000454000
55000;0.000655000
56000;0.000656000
57000;0.000457000
58000;0.000558000
59000;0.000559000
60000;0.000460000
61000;0.000661000
62000;0.000462000
63000;0.000663000
64000;0.000364000
65000;0.000565000
66000;0.000666000
67000;0.000667000
68000;0.000568000
69000;0.000569000
70000;0.000670000
71000;0.000571000
72000;0.000572000
73000;0.000673000
74000;0.000574000
75000;0.000675000
76000;0.000476000
77000;0.000777000
78000;0.000678000
79000;0.000479000
80000;0.000680000
81000;0.000681000
82000;0.000682000
83000;0.000483000
84000;0.000984000
85000;0.000685000
86000;0.000586000
87000;0.000687000
88000;0.000588000
89000;0.000489000
90000;0.000590000
91000;0.000591000
92000;0.000692000
93000;0.000693000
94000;0.000494000
95000;0.000595000
96000;0.000696000
97000;0.000797000
98000;0.000598000
99000;0.000499000
100000;0.0006100000
