n;t
1000;0.00691000
2000;0.01322000
3000;0.01963000
4000;0.02624000
5000;0.0325000
6000;0.03896000
7000;0.04477000
8000;0.05248000
9000;0.05779000
10000;0.064110000
11000;0.07211000
12000;0.079712000
13000;0.081913000
14000;0.088914000
15000;0.096715000
16000;0.107516000
17000;0.118517000
18000;0.125718000
19000;0.128319000
20000;0.132420000
21000;0.13921000
22000;0.141122000
23000;0.144223000
24000;0.162324000
25000;0.166125000
26000;0.176526000
27000;0.182127000
28000;0.192128000
29000;0.194329000
30000;0.192330000
31000;0.202631000
32000;0.210532000
33000;0.21933000
34000;0.221134000
35000;0.22635000
36000;0.23136000
37000;0.239537000
38000;0.242138000
39000;0.244639000
40000;0.244140000
41000;0.247141000
42000;0.249842000
43000;0.26943000
44000;0.256544000
45000;0.265945000
46000;0.262346000
47000;0.277647000
48000;0.274148000
49000;0.284349000
50000;0.275850000
51000;0.281951000
52000;0.28552000
53000;0.292153000
54000;0.306154000
55000;0.294155000
56000;0.300956000
57000;0.300757000
58000;0.305458000
59000;0.305659000
60000;0.313460000
61000;0.315161000
62000;0.320162000
63000;0.334963000
64000;0.328864000
65000;0.328565000
66000;0.338666000
67000;0.333967000
68000;0.334768000
69000;0.340169000
70000;0.341370000
71000;0.345571000
72000;0.346272000
73000;0.351573000
74000;0.354974000
75000;0.361775000
76000;0.365876000
77000;0.366777000
78000;0.375778000
79000;0.375679000
80000;0.379280000
81000;0.379481000
82000;0.385382000
83000;0.38883000
84000;0.392184000
85000;0.394985000
86000;0.398586000
87000;0.401387000
88000;0.407388000
89000;0.412689000
90000;0.409190000
91000;0.413591000
92000;0.416192000
93000;0.419893000
94000;0.421894000
95000;0.457495000
96000;0.436596000
97000;0.432597000
98000;0.443398000
99000;0.439999000
100000;0.4471100000
