n;t
1000;0.0048
2000;0.0152
3000;0.0267
4000;0.0352
5000;0.0456
6000;0.058
7000;0.0682
8000;0.0765
9000;0.0869
10000;0.096
11000;0.1071
12000;0.1174
13000;0.1267
14000;0.1378
15000;0.1468
16000;0.1572
17000;0.1666
18000;0.1766
19000;0.1876
20000;0.1973
21000;0.2092
22000;0.2188
23000;0.2265
24000;0.2366
25000;0.2462
26000;0.2575
27000;0.266
28000;0.28
29000;0.2865
30000;0.297
31000;0.308
32000;0.3164
33000;0.3281
34000;0.3396
35000;0.3465
36000;0.3657
37000;0.3691
38000;0.3828
39000;0.391
40000;0.4101
41000;0.4103
42000;0.429
43000;0.4321
44000;0.4421
45000;0.4539
46000;0.4621
47000;0.4708
48000;0.4831
49000;0.4897
50000;0.5016
51000;0.5148
52000;0.5272
53000;0.5344
54000;0.5416
55000;0.5518
56000;0.5637
57000;0.5717
58000;0.5829
59000;0.5927
60000;0.6032
61000;0.6146
62000;0.6229
63000;0.6307
64000;0.6426
65000;0.6517
66000;0.6609
67000;0.6806
68000;0.689
69000;0.6999
70000;0.7117
71000;0.7162
72000;0.7267
73000;0.7345
74000;0.7472
75000;0.7581
76000;0.7675
77000;0.7881
78000;0.7989
79000;0.7946
80000;0.8098
81000;0.8141
82000;0.827
83000;0.8388
84000;0.853
85000;0.8615
86000;0.8689
87000;0.97
88000;0.9597
89000;0.9217
90000;0.9457
91000;0.9864
92000;0.9648
93000;1.0091
94000;1.0223
95000;0.999
96000;1.0437
97000;1.0677
98000;1.004
99000;1.0027
100000;1.0771
